,Zip Code,Educational,Religious,RES_RATIO,BUS_RATIO,OTH_RATIO,distance_from_19140_km,distance_from_19140_miles,Average ADA for 3 years
29,19135,8.0,16.0,0.090909091090909,0.0909090908181818,0.090909091,6.942379034640181,4.313793003133404,87.55
30,19136,8.0,17.0,0.0833333333333333,0.0833333335,0.0833333331666666,8.972698451631434,5.575374609588676,89.26124999999999
31,19137,5.0,8.0,0.1111111112222222,0.1111111111111111,0.1111111111111111,5.115865489610951,3.1788504551450463,90.14666666666666
32,19138,11.0,13.0,0.0714285714285714,0.0714285714285714,0.0714285712857142,4.612435511010906,2.866033665912358,87.512
33,19139,5.0,28.0,0.0555555556111111,0.0555555555555555,0.0555555556111111,10.131438034422969,6.295381782887435,86.23766666666667
34,19140,14.0,30.0,0.04,0.04000000008,0.03999999996,0.0,0.0,84.10575757575758
35,19141,,,0.0833333335,0.0833333333333333,0.0833333332499999,2.0215571339934635,1.2561369779066525,90.55523809523812
36,19142,4.0,20.0,0.0999999999,0.0999999999,0.1,13.82696307304616,8.591673871661765,86.768
37,19143,16.0,42.0,0.0434782608695652,0.0434782608260869,0.043478261,12.551552685138084,7.799170843516936,84.22809523809524
38,19144,24.0,38.0,0.0454545455454545,0.0454545454545454,0.0454545452727272,4.0944770217199205,2.5441892814631286,86.72
39,19145,20.0,13.0,0.0454545454090909,0.0454545455454545,0.0454545454545454,11.882822433394455,7.383641258260747,87.78416666666666
40,19146,16.0,30.0,0.0476190476190476,0.0476190475238095,0.0476190476666666,9.630915514759389,5.984371604321555,91.1422222222222
41,19147,35.0,28.0,0.0588235294117647,0.0588235295294117,0.0588235293529411,8.975803505662846,5.577304000117228,94.655625
42,19148,9.0,26.0,0.0588235295882352,0.0588235293529411,0.0588235294117647,10.697781027092269,6.647290894585351,88.58708333333334
43,19149,12.0,17.0,0.0526315788947368,0.0526315789473684,0.0526315790526315,4.628130568759804,2.8757861196408485,90.45866666666667
44,19150,4.0,12.0,0.0714285714285714,0.0714285713571428,0.0714285714285714,7.375229702721627,4.58275385560984,91.57111111111112
45,19151,9.0,25.0,0.0833333333333333,0.0833333334166666,0.08333333325,11.647209019472143,7.237237915638425,88.92916666666667
46,19152,7.0,17.0,0.1,0.1000000002,0.0999999999,10.94488234329751,6.800832486537117,91.96666666666668
47,19153,,,0.125,0.1249999998749999,0.1249999998749999,15.866054110687644,9.858705908812093,84.44999999999999
48,19154,11.0,26.0,0.0999999999,0.1000000002,0.0999999999999999,15.58909718208452,9.68661290512904,92.30444444444444
