,One or More People in the Household over 60 receiving Food Stamps,"Percent male householder, no spouse present (SNAP)","Percent female householder, no spouse present (SNAP)",Percent households with no working member receiving food stamps,Percent households with only one working member receiving food stamps,Percent households with two or more working members receiving food stamps,Zip Code,Educational,Religious,RES_RATIO,BUS_RATIO,OTH_RATIO,distance_from_19140_km,distance_from_19140_miles,Average ADA for 3 years
30,33.54,13.1,37.63,15.45,48.46,36.09,19136,8.0,17.0,0.0833333333333333,0.0833333335,0.0833333331666666,8.972698451631434,5.575374609588676,89.26124999999999
31,38.78888888888889,9.455555555555556,42.36666666666667,33.0,36.45555555555556,30.55555555555556,19137,5.0,8.0,0.1111111112222222,0.1111111111111111,0.1111111111111111,5.115865489610951,3.1788504551450463,90.14666666666666
32,47.25,5.607142857142857,44.142857142857146,17.79285714285714,53.87857142857143,28.314285714285717,19138,11.0,13.0,0.0714285714285714,0.0714285714285714,0.0714285712857142,4.612435511010906,2.866033665912358,87.512
33,35.747058823529414,3.852941176470588,39.37647058823529,20.50625,49.75625,29.7375,19139,5.0,28.0,0.0555555556111111,0.0555555555555555,0.0555555556111111,10.131438034422969,6.295381782887435,86.23766666666667
34,44.69130434782609,5.373913043478261,42.87826086956522,29.35652173913044,51.53913043478261,19.08695652173913,19140,14.0,30.0,0.04,0.04000000008,0.03999999996,0.0,0.0,84.10575757575758
35,47.90833333333333,4.7250000000000005,41.7,24.73333333333333,45.88333333333333,29.391666666666666,19141,,,0.0833333335,0.0833333333333333,0.0833333332499999,2.0215571339934635,1.2561369779066525,90.55523809523812
36,32.96666666666667,5.755555555555556,40.01111111111111,16.833333333333332,38.74444444444444,44.43333333333333,19142,4.0,20.0,0.0999999999,0.0999999999,0.1,13.82696307304616,8.591673871661765,86.768
37,31.99090909090909,4.622727272727273,36.154545454545456,21.25454545454545,50.34090909090909,28.41818181818182,19143,16.0,42.0,0.0434782608695652,0.0434782608260869,0.043478261,12.551552685138084,7.799170843516936,84.22809523809524
38,41.375,5.225,37.28,31.12,46.85,22.02,19144,24.0,38.0,0.0454545455454545,0.0454545454545454,0.0454545452727272,4.0944770217199205,2.5441892814631286,86.72
39,47.833333333333336,8.646666666666667,31.37333333333333,33.059999999999995,33.373333333333335,33.553333333333335,19145,20.0,13.0,0.0454545454090909,0.0454545455454545,0.0454545454545454,11.882822433394455,7.383641258260747,87.78416666666666
40,38.0,4.078947368421052,33.52105263157895,28.78421052631579,43.87894736842105,27.347368421052632,19146,16.0,30.0,0.0476190476190476,0.0476190475238095,0.0476190476666666,9.630915514759389,5.984371604321555,91.1422222222222
41,54.40625,3.1875,19.19375,32.13846153846154,41.19230769230769,26.66923076923077,19147,35.0,28.0,0.0588235294117647,0.0588235295294117,0.0588235293529411,8.975803505662846,5.577304000117228,94.655625
42,51.55714285714286,9.5,25.464285714285715,27.457142857142856,40.85714285714285,31.664285714285715,19148,9.0,26.0,0.0588235295882352,0.0588235293529411,0.0588235294117647,10.697781027092269,6.647290894585351,88.58708333333334
43,33.27368421052632,10.65263157894737,40.194736842105264,12.36842105263158,53.48947368421052,34.13684210526316,19149,12.0,17.0,0.0526315788947368,0.0526315789473684,0.0526315790526315,4.628130568759804,2.8757861196408485,90.45866666666667
44,53.57142857142857,3.457142857142857,49.34285714285714,10.87857142857143,49.22857142857144,39.885714285714286,19150,4.0,12.0,0.0714285714285714,0.0714285713571428,0.0714285714285714,7.375229702721627,4.58275385560984,91.57111111111112
45,35.77272727272727,9.554545454545456,39.61818181818182,18.90909090909091,47.42727272727273,33.68181818181818,19151,9.0,25.0,0.0833333333333333,0.0833333334166666,0.08333333325,11.647209019472143,7.237237915638425,88.92916666666667
46,42.34444444444445,9.622222222222222,23.677777777777777,10.055555555555555,48.01111111111111,41.922222222222224,19152,7.0,17.0,0.1,0.1000000002,0.0999999999,10.94488234329751,6.800832486537117,91.96666666666668
47,37.67999999999999,3.66,42.8,12.68,42.32,45.0,19153,,,0.125,0.1249999998749999,0.1249999998749999,15.866054110687644,9.858705908812093,84.44999999999999
48,40.35555555555556,12.1,32.099999999999994,18.444444444444443,45.28888888888889,36.24444444444444,19154,11.0,26.0,0.0999999999,0.1000000002,0.0999999999999999,15.58909718208452,9.68661290512904,92.30444444444444
