One or More People in the Household over 60 receiving Food Stamps,"Percent male householder, no spouse present (SNAP)","Percent female householder, no spouse present (SNAP)",Percent households with no working member receiving food stamps,Percent households with only one working member receiving food stamps,Percent households with two or more working members receiving food stamps,zip,Educational,Religious,RES_RATIO,BUS_RATIO,OTH_RATIO
28.255555555555556,10.533333333333333,27.87777777777778,8.88888888888889,58.78888888888889,32.32222222222222,19118,11.0,18.0,0.09090909081818183,0.09090909100000001,0.09090909072727273
41.13,9.18,42.86,15.05,58.410000000000004,26.53,19119,16.0,25.0,0.08333333333333333,0.08333333333333333,0.08333333325
42.800000000000004,9.452631578947368,42.0,19.121052631578948,50.810526315789474,30.073684210526313,19120,8.0,22.0,0.05,0.05,0.05
43.93888888888889,7.449999999999999,46.57222222222222,22.200000000000003,57.02777777777778,20.772222222222222,19121,12.0,34.0,0.052631578894736845,0.05263157894736842,0.05263157894736842
48.43333333333334,4.866666666666666,36.358333333333334,27.55,48.833333333333336,23.633333333333336,19122,11.0,28.0,0.08333333333333333,0.08333333341666667,0.08333333333333333
69.91428571428571,16.242857142857144,30.75714285714286,31.5,30.97142857142857,37.528571428571425,19123,16.0,35.0,0.1,0.0999999999,0.1
35.50476190476191,11.404761904761905,42.871428571428574,20.89047619047619,53.60476190476191,25.514285714285716,19124,17.0,25.0,0.04545454540909091,0.04545454540909091,0.045454545500000006
43.306666666666665,8.8,39.26,20.92666666666667,54.973333333333336,24.09333333333333,19125,15.0,20.0,0.0625000000625,0.0625,0.0625
48.47777777777778,5.111111111111111,36.58888888888889,14.366666666666667,41.02222222222222,44.62222222222223,19126,8.0,16.0,0.11111111099999998,0.11111111122222223,0.1111111111111111
70.75,12.8,17.55,52.125,17.275,30.6,19127,6.0,4.0,0.2,0.20000000019999997,0.20000000020000003
46.333333333333336,8.308333333333332,21.616666666666664,28.366666666666664,45.85833333333333,25.775000000000002,19128,8.0,23.0,0.06666666673333334,0.0666666668,0.06666666666666667
43.644444444444446,2.411111111111111,25.833333333333332,38.06666666666667,47.900000000000006,14.033333333333333,19129,4.0,10.0,0.1,0.0999999999,0.1
37.33571428571429,6.521428571428571,37.44285714285714,21.53333333333333,44.85,33.608333333333334,19130,17.0,36.0,0.06666666660000001,0.06666666660000001,0.06666666666666667
40.973684210526315,6.28421052631579,36.242105263157896,32.833333333333336,40.611111111111114,26.544444444444444,19131,25.0,26.0,0.04999999995,0.04999999995,0.04999999995
50.5375,3.48125,40.74375,32.3125,40.35,27.33125,19132,8.0,23.0,0.05882352947058824,0.05882352958823529,0.058823529352941176
45.323076923076925,6.523076923076923,42.74615384615385,25.45384615384615,47.11538461538461,27.423076923076923,19133,6.0,5.0,0.07692307684615385,0.07692307692307693,0.076923077
37.150000000000006,8.677777777777777,46.672222222222224,27.61111111111111,47.45,24.93333333333333,19134,6.0,23.0,0.052631579000000005,0.05263157889473684,0.052631579000000005
33.68181818181818,9.518181818181818,39.054545454545455,15.590909090909092,47.08181818181818,37.336363636363636,19135,8.0,16.0,0.09090909109090908,0.09090909081818183,0.09090909100000001
33.54,13.1,37.63,15.45,48.459999999999994,36.089999999999996,19136,8.0,17.0,0.08333333333333333,0.0833333335,0.08333333316666668
38.78888888888889,9.455555555555556,42.36666666666667,33.0,36.455555555555556,30.555555555555557,19137,5.0,8.0,0.11111111122222223,0.1111111111111111,0.1111111111111111
47.25,5.607142857142857,44.142857142857146,17.79285714285714,53.878571428571426,28.314285714285713,19138,11.0,13.0,0.07142857142857142,0.07142857142857142,0.07142857128571428
35.747058823529414,3.8529411764705883,39.37647058823529,20.50625,49.75625,29.7375,19139,5.0,28.0,0.05555555561111111,0.05555555555555555,0.05555555561111111
44.69130434782609,5.373913043478261,42.87826086956522,29.356521739130436,51.539130434782614,19.08695652173913,19140,14.0,30.0,0.04,0.04000000008,0.039999999960000004
47.90833333333333,4.7250000000000005,41.699999999999996,24.733333333333334,45.88333333333333,29.391666666666666,19141,,,0.0833333335,0.08333333333333333,0.08333333324999999
32.96666666666667,5.7555555555555555,40.01111111111111,16.833333333333332,38.74444444444444,44.43333333333333,19142,4.0,20.0,0.0999999999,0.0999999999,0.1
31.99090909090909,4.622727272727273,36.154545454545456,21.254545454545454,50.34090909090909,28.41818181818182,19143,16.0,42.0,0.043478260869565216,0.04347826082608696,0.043478261000000004
